number,code,,ssdate,sssrhsl(%),fxj(y),ssdate1,bkzf,dyrzf,derzf,dsrzf,y
420,688556,2020/8/31,20200807,72.74,14.41,2020/8/7,5.11%,240.39,-0.18,-0.04,34.75
421,688557,2020/12/31,20201202,74.27,27.7,2020/12/2,-5.09%,137.36,-0.12,-0.01,64.39
422,688558,2020/6/30,20200630,71.35,17.37,2020/6/30,5.21%,155.04,0.01,-0.04,43.56
423,688559,2020/9/30,20200909,72.75,14.56,2020/9/9,-7.61%,119.51,-0.25,0.07,31.96
424,688560,2020/12/31,20201224,74.88,15.87,2020/12/24,2.38%,109.7,0.03,-0.04,33.92
425,688561,2020/7/31,20200722,65.12,56.1,2020/7/22,7.94%,138.06,-0.02,0.01,133.55
427,688565,2021/5/31,20210513,71.16,9.39,2021/5/13,5.38%,176.89,-0.16,-0.15,18.17
428,688566,2020/5/31,20200518,67.33,23.69,2020/5/18,1.92%,92.91,0.2,-0.05,51.93
429,688567,2020/7/31,20200717,63.28,15.9,2020/7/17,15.31%,75.85,0.05,0.01,29.78
430,688568,2020/7/31,20200708,69.67,16.21,2020/7/8,7.94%,438.37,0.14,-0.08,100.31
431,688569,2020/8/31,20200831,68.94,22.46,2020/8/31,7.56%,52.89,-0.09,-0.07,33.51
432,688571,2020/12/31,20201211,71.4,5.33,2020/12/11,-8.19%,174.3,-0.2,0.05,14.04
433,688575,2021/5/31,20210517,78.33,14.8,2021/5/17,9.23%,332.43,-0.05,0,46.82
434,688577,2020/9/30,20200916,77.29,33.13,2020/9/16,-3.78%,85.15,0.08,-0.12,65.32
435,688578,2020/12/31,20201202,76.6,22.73,2020/12/2,-5.36%,69.6,-0.03,-0.09,38.55
436,688579,2020/7/31,20200717,79.44,8.12,2020/7/17,7.94%,271.92,-0.16,0.06,29.63
437,688580,2020/7/31,20200721,70.8,67.58,2020/7/21,16.19%,167.83,-0.05,-0.03,175.37
439,688585,2020/9/30,20200928,80.2,2.49,2020/9/28,-5.29%,556.63,-0.11,-0.02,16.22
440,688586,2020/7/31,20200731,76.31,10.27,2020/7/31,26.62%,292.99,0.24,-0.07,35.08
441,688588,2020/5/31,20200511,76.46,11.49,2020/5/11,-0.83%,264.93,-0.02,0.19,48.02
